(Child) ASIN,Title,SKU,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Units Ordered - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B00U20EBIA,"P&J Trading Fragrance | Eucalyptus Oil 10ml - Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR10EUC,46,54,0.8846,7,0,34.93,0,7,0
B00U20EC4I,"P&J Trading Fragrance Oil | Bamboo Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30BAMFBA,381,471,0.9888,117,5,1041.94,44.05,113,5
B00U20ECG6,P&J Trading Fragrance Oil for Diffusers for Home - Bamboo 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10BAM,26,34,0.4194,3,0,14.97,0,3,0
B00U20ED8I,"P&J Trading - Chocolate Mint Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30CHMSL,34,40,0.9459,9,0,80.91,0,9,0
B00U20EDI8,P&J Trading Fragrance Oil for Diffusers for Home - Chocolate Mint 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10CHM,16,21,1,4,0,19.96,0,4,0
B00U20EDY2,"P&J Trading Fragrance Oil | Cupcake Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30CUPFBA,130,166,0.9873,31,0,278.69,0,30,0
B00U20EETQ,P&J Trading Fragrance Oil for Diffusers for Home - Cupcake 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10CUP,52,61,0.9649,13,0,64.87,0,13,0
B00U20EEZU,"P&J Trading Fragrance Oil | Fresh Cut Grass Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30FCGFBA,70,80,0.9737,42,4,376.86,35.24,39,4
B00U20EFOU,P&J Trading Fragrance Oil for Diffusers for Home - Fresh Cut Grass 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10FCG,81,106,1,20,1,99.7,4.89,17,1
B00U20EFSG,"P&J Trading - Pina Colada Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30PICSL,190,235,0.9773,61,6,538.32,52.86,59,4
